"district","first","last","id","affiliation","user_id","screen_name","chamber"
"null","Barbara","Boxer","6","2","15442036","SenatorBoxer","1"
"null","Marco","Rubio","12","1","15745368","marcorubio","1"
"null","Jeff","Flake","4","1","16056306","JeffFlake","1"
"null","Claire","McCaskill","29","2","16160352","clairecmc","1"
"null","Jon","Tester","30","2","16473577","jontester","1"
"null","Harry","Reid","32","2","16789970","SenatorReid","1"
"null","Chuck","Schumer","36","2","17494010","ChuckSchumer","1"
"null","Lisa","Murkowski","2","1","18061669","lisamurkowski","1"
"null","Orrin","Hatch","49","1","18170310","OrrinHatch","1"
"null","Tom","Coburn","40","1","18216752","TomCoburn","1"
"null","Jerry","Moran","20","1","18632666","JerryMoran","1"
"null","Rob","Portman","39","1","18915145","robportman","1"
"null","David","Vitter","22","1","19028248","DavidVitter","1"
"null","John","McCain","4","1","19394188","SenJohnMcCain","1"
"null","Susan","Collins","23","1","19726613","SenatorCollins","1"
"null","Bill","Nelson","12","2","20597460","SenBillNelson","1"
"null","Richard","Shelby","1","1","21111098","SenShelbyPress","1"
"null","Richard","Burr","37","1","21157904","SenatorBurr","1"
"null","Roy","Blunt","29","1","21269970","RoyBlunt","1"
"null","Ted","Cruz","48","1","23022687","tedcruz","1"
"null","Jeff","Merkley","41","2","29201047","SenJeffMerkley","1"
"null","Bernie","Sanders","50","2","29442313","SenSanders","1"
"null","Amy","Klobuchar","27","2","33537967","amyklobuchar","1"
"null","Sherrod","Brown","39","2","43910797","SenSherrodBrown","1"
"null","Brian","Schatz","15","2","47747074","brianschatz","1"
"null","Jeff","Sessions","1","1","47975734","SenatorSessions","1"
"null","Mark","Udall","8","2","60828944","SenatorTomUdall","1"
"null","Kirsten","Gillibrand","36","2","72198806","SenGillibrand","1"
"null","Bob","Corker","47","1","73303753","SenBobCorker","1"
"null","Kay","Hagan","37","2","74171837","SenatorHagan","1"
"null","Pat","Roberts","20","1","75364211","SenPatRoberts","1"
"null","Debbie","Stabenow","26","2","76456274","StabenowPress","1"
"null","Lamar","Alexander","47","1","76649729","SenAlexander","1"
"null","Johnny","Isakson","13","1","78403308","SenatorIsakson","1"
"null","Mark","Begich","2","2","83901492","SenatorBegich","1"
"null","Tammy","Baldwin","55","2","87510313","tammybaldwin","1"
"null","Mike","Lee","49","1","88784440","SenMikeLee","1"
"null","Mazie","Hirono","15","2","92186819","maziehirono","1"
"null","Carl","Levin","26","2","93761782","SenCarlLevin","1"
"null","Bob","Casey,","42","2","94154021","Bob_Casey","1"
"null","Ben","Cardin","24","2","109071031","SenatorCardin","1"
"null","Jeanne","Shaheen","33","2","109287731","SenatorShaheen","1"
"null","Tom","Harkin","19","2","115733549","SenatorHarkin","1"
"null","Maria","Cantwell","53","2","117501995","CantwellPress","1"
"null","Barbara","Mikulski","24","2","132278386","SenatorBarb","1"
"null","Cory","Booker","34","2","135297032","CoryBooker","1"
"null","Chris","Murphy","9","2","150078976","ChrisMurphyCT","1"
"null","Tim","Kaine","51","2","172858784","timkaine","1"
"null","Mike","Johanns","31","1","194720228","Mike_Johanns","1"
"null","John","Barrasso","56","1","202206694","SenJohnBarrasso","1"
"null","Mark","Kirk","17","1","211588974","SenatorKirk","1"
"null","Dan","Coats","18","1","212262370","SenDanCoats","1"
"null","Joe","Donnelly","18","2","216503958","SenDonnelly","1"
"null","Rand","Paul","21","1","216881337","SenRandPaul","1"
"null","Tim","Scott","45","1","217543151","SenatorTimScott","1"
"null","Pat","Toomey","42","1","221162525","SenToomey","1"
"null","Michael","Bennet","8","2","224285242","SenBennetCO","1"
"null","Kelly","Ayotte","33","1","229592356","KellyAyotte","1"
"null","Tim","Johnson","46","2","233737858","SenRonJohnson","1"
"null","Joe","Manchin","54","2","234374703","Sen_JoeManchin","1"
"null","Sheldon","White0","44","2","242555999","SenWhite0","1"
"null","Patrick","Leahy","50","2","242836537","SenatorLeahy","1"
"null","Ron","Johnson","55","1","244243985","SenJohnsonSD","1"
"null","Dick","Durbin","17","2","247334603","SenatorDurbin","1"
"null","Tom","Carper","10","2","249787913","SenatorCarper","1"
"null","Ron","Wyden","41","2","250188760","RonWyden","1"
"null","Roger","Wicker","28","1","264219447","SenatorWicker","1"
"null","Dean","Heller","32","1","266133081","SenDeanHeller","1"
"null","Jay","Rockefeller","54","2","273559002","SenRockefeller","1"
"null","Richard","Blumenthal","9","2","278124059","SenBlumenthal","1"
"null","Mike","Enzi","56","1","291756142","SenatorEnzi","1"
"null","Patty","Murray","53","2","293131808","PattyMurray","1"
"null","John","Thune","46","1","296361085","SenJohnThune","1"
"null","Mitch","McConnel","21","1","339822881","McConnellPress","1"
"null","Max","Baucus","30","2","346637907","MaxBaucus","1"
"null","Elizabeth","Warren","25","2","357606935","elizabethforma","1"
"null","John","Hoeven","38","1","382791093","SenJohnHoeven","1"
"null","Bob","Menendez","34","2","407039290","Menendez4NJ","1"
"null","Mary","Landrieu","22","2","413466731","SenLandrieu","1"
"null","Mark","Pryor","5","2","426655227","SenMarkPryor","1"
"null","Lindsey","Graham","45","1","432895323","LindseyGrahamSC","1"
"null","Dianne","Feinstein","6","2","476256944","SenFeinstein","1"
"null","Jack","Reed","44","2","486694111","SenJackReed","1"
"null","Saxby","Chambliss","13","1","538185166","SaxbyChambliss","1"
"null","Thad","Cochran","28","1","555474658","SenThadCochran","1"
"null","Mike","Crapo","16","1","600463589","MikeCrapo","1"
"null","Heidi","Heitkamp","38","2","1061029050","SenatorHeitkamp","1"
"null","Angus","King","23","2","1068481578","SenAngusKing","1"
"null","Deb","Fischer","31","1","1071402577","SenatorFischer","1"
"null","Jim","Risch","16","1","1096059529","SenatorRisch","1"
"null","Martin","Heinrich","35","2","1099199839","MartinHeinrich","1"
